,status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,personal_status_sex,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,credit_risk
90,2,12,4,others,1995,2,2,4,male : married/widowed,none,1,building soc. savings agr./life insurance,27,none,2,1,3,0 to 2,1,2,1
91,2,30,2,furniture/equipment,2991,5,5,2,female : non-single or male : single,none,4,building soc. savings agr./life insurance,25,none,2,1,3,0 to 2,1,2,1
92,2,30,0,retraining,4221,1,3,2,female : non-single or male : single,none,1,building soc. savings agr./life insurance,28,none,2,2,3,0 to 2,1,2,1
93,1,9,2,furniture/equipment,1364,1,4,3,male : married/widowed,none,4,unknown / no property,59,none,2,1,3,0 to 2,1,2,1
94,2,18,4,car (used),6361,1,5,2,male : married/widowed,none,1,real estate,41,none,2,1,3,0 to 2,2,2,1
95,4,27,4,car (used),4526,4,2,4,male : married/widowed,none,2,unknown / no property,32,stores,2,2,2,3 or more,2,2,1
96,2,12,4,furniture/equipment,3573,1,3,1,female : non-single or male : single,none,1,unknown / no property,23,none,2,1,2,0 to 2,1,2,1
97,2,36,3,retraining,4455,1,3,2,male : divorced/separated,none,2,unknown / no property,30,stores,2,2,4,0 to 2,2,2,0
98,1,9,2,car (used),2136,1,3,3,male : married/widowed,none,2,unknown / no property,25,none,2,1,3,0 to 2,1,2,1
99,2,42,4,retraining,5954,1,4,2,female : non-single or male : single,none,1,unknown / no property,41,bank,2,2,2,0 to 2,1,2,1
100,4,24,4,car (used),3777,4,3,4,male : married/widowed,none,4,unknown / no property,40,none,2,1,3,0 to 2,2,2,1
101,1,15,2,retraining,806,1,3,4,female : non-single or male : single,none,4,car or other,22,none,2,1,2,0 to 2,1,2,1
102,2,24,3,retraining,4712,5,3,4,male : married/widowed,none,2,car or other,34,bank,2,2,4,0 to 2,2,2,1
103,2,36,3,others,7432,1,3,2,female : non-single or male : single,none,2,car or other,54,none,1,1,3,0 to 2,1,2,1
104,4,24,4,furniture/equipment,1851,1,4,4,female : single,guarantor,2,building soc. savings agr./life insurance,33,none,2,2,3,0 to 2,2,2,1
105,4,24,2,others,1393,1,3,2,male : married/widowed,guarantor,2,unknown / no property,31,none,2,1,3,0 to 2,2,2,1
106,4,12,4,retraining,1412,1,3,4,female : non-single or male : single,guarantor,2,unknown / no property,29,none,2,2,4,0 to 2,2,2,1
107,4,18,2,furniture/equipment,1473,1,2,3,female : single,none,4,unknown / no property,39,none,2,1,3,0 to 2,2,2,1
108,4,24,2,furniture/equipment,1533,1,2,4,female : non-single or male : single,none,3,building soc. savings agr./life insurance,38,stores,2,1,3,0 to 2,2,2,1
109,4,12,4,repairs,2012,5,4,4,female : non-single or male : single,none,2,building soc. savings agr./life insurance,61,none,2,1,3,0 to 2,1,2,1
110,1,15,2,others,3959,1,3,3,female : non-single or male : single,none,2,car or other,29,none,2,1,3,0 to 2,2,2,0
111,1,6,2,car (used),428,1,5,2,female : non-single or male : single,none,1,car or other,49,bank,2,1,3,0 to 2,2,2,1
112,2,12,4,others,2366,3,4,3,male : divorced/separated,none,3,building soc. savings agr./life insurance,36,none,2,1,4,0 to 2,2,2,1
113,4,12,2,car (used),763,1,3,4,female : non-single or male : single,none,1,unknown / no property,26,none,2,1,3,0 to 2,2,2,1
114,2,21,2,car (used),3976,5,4,2,male : married/widowed,none,3,building soc. savings agr./life insurance,35,none,2,1,3,0 to 2,2,2,1
115,2,18,2,others,6260,1,4,3,male : married/widowed,none,3,unknown / no property,28,none,1,1,2,0 to 2,1,2,1
116,2,9,4,car (used),1919,1,4,4,male : married/widowed,none,3,building soc. savings agr./life insurance,35,none,1,1,3,0 to 2,2,2,1
117,4,24,2,car (new),2603,4,3,2,female : non-single or male : single,none,4,building soc. savings agr./life insurance,28,none,1,1,3,0 to 2,2,2,1
118,4,9,4,repairs,936,3,5,4,male : married/widowed,none,2,building soc. savings agr./life insurance,52,none,2,2,3,0 to 2,2,2,1
119,4,24,2,car (used),3062,3,5,4,male : married/widowed,none,3,real estate,32,none,1,1,3,0 to 2,2,2,1
120,2,36,2,furniture/equipment,4795,1,2,4,female : non-single or male : single,none,1,real estate,30,none,2,1,4,0 to 2,2,2,1
121,4,36,4,car (new),5842,1,5,2,male : married/widowed,none,2,car or other,35,none,2,2,3,3 or more,2,2,1
122,2,6,2,furniture/equipment,2063,1,2,4,female : single,none,3,building soc. savings agr./life insurance,30,none,1,1,4,0 to 2,2,2,1
123,4,15,4,furniture/equipment,1459,1,3,4,female : non-single or male : single,none,2,building soc. savings agr./life insurance,43,none,2,1,2,0 to 2,1,2,1
124,4,15,2,furniture/equipment,1213,3,5,4,male : married/widowed,none,3,car or other,47,stores,2,1,3,0 to 2,2,2,1
125,4,24,4,furniture/equipment,5103,1,2,3,female : single,none,3,real estate,47,none,3,3,3,0 to 2,2,2,1
126,4,15,2,radio/television,874,5,2,4,female : non-single or male : single,none,1,unknown / no property,24,none,2,1,3,0 to 2,1,2,1
127,4,6,2,car (used),2978,3,3,1,male : married/widowed,none,2,building soc. savings agr./life insurance,32,none,2,1,3,0 to 2,2,2,1
128,4,18,2,others,1820,1,3,2,female : single,none,2,car or other,30,none,2,1,4,0 to 2,2,2,1
129,4,24,4,furniture/equipment,2872,2,5,3,male : married/widowed,none,4,unknown / no property,36,none,2,1,3,3 or more,2,2,1
130,3,24,2,car (used),1925,1,3,2,male : married/widowed,none,2,unknown / no property,26,none,2,1,3,0 to 2,1,2,1
131,4,18,2,car (used),2515,1,3,3,male : married/widowed,none,4,unknown / no property,43,none,2,1,3,0 to 2,2,2,1
132,3,6,2,car (used),2116,1,3,2,male : married/widowed,none,2,unknown / no property,41,none,2,1,3,0 to 2,2,2,1
133,4,18,2,furniture/equipment,1453,1,2,3,female : non-single or male : single,none,1,unknown / no property,26,none,2,1,3,0 to 2,1,2,1
134,4,10,2,others,1364,1,3,2,female : non-single or male : single,none,4,building soc. savings agr./life insurance,64,none,2,1,3,0 to 2,2,2,1
135,4,6,2,car (used),1543,4,3,4,male : divorced/separated,none,2,unknown / no property,33,none,2,1,3,0 to 2,1,2,1
136,2,12,2,others,1318,4,5,4,male : married/widowed,none,4,unknown / no property,54,none,2,1,3,0 to 2,2,2,1
137,1,24,1,others,2325,2,4,2,male : married/widowed,none,3,building soc. savings agr./life insurance,32,bank,2,1,3,0 to 2,1,2,1
138,2,6,4,vacation,932,5,4,1,female : non-single or male : single,none,3,car or other,39,none,2,2,2,0 to 2,1,2,1
139,3,24,4,furniture/equipment,3148,5,3,3,male : married/widowed,none,2,building soc. savings agr./life insurance,31,none,2,2,3,0 to 2,2,2,1
140,4,36,2,furniture/equipment,3835,5,5,2,female : non-single or male : single,none,4,unknown / no property,45,none,2,1,2,0 to 2,2,2,1
141,4,9,2,repairs,3832,5,5,1,male : married/widowed,none,4,unknown / no property,64,none,2,1,2,0 to 2,1,2,1
142,2,24,2,furniture/equipment,5084,5,5,2,female : non-single or male : single,none,4,building soc. savings agr./life insurance,42,none,2,1,3,0 to 2,2,2,1
143,4,9,4,car (used),2406,1,1,2,male : married/widowed,none,3,building soc. savings agr./life insurance,31,none,2,1,4,0 to 2,1,2,1
144,4,36,2,furniture/equipment,2394,5,3,4,female : non-single or male : single,none,4,building soc. savings agr./life insurance,25,none,2,1,3,0 to 2,1,2,1
145,4,21,2,car (new),2476,5,5,4,male : married/widowed,none,4,unknown / no property,46,none,2,1,4,0 to 2,2,2,1
146,1,24,2,car (new),2964,5,5,4,male : married/widowed,none,4,real estate,49,bank,3,1,3,3 or more,2,2,1
147,1,12,2,car (used),1262,5,5,2,male : divorced/separated,none,4,car or other,49,none,2,1,2,0 to 2,2,2,1
148,4,12,2,retraining,1542,1,4,2,male : married/widowed,none,4,building soc. savings agr./life insurance,36,none,2,1,3,0 to 2,2,2,1
149,2,24,4,furniture/equipment,1743,1,5,4,male : married/widowed,none,2,car or other,48,none,2,2,2,0 to 2,1,2,1
150,3,12,1,furniture/equipment,409,4,3,3,female : non-single or male : single,none,3,unknown / no property,42,none,1,2,3,0 to 2,1,2,1
151,4,12,2,furniture/equipment,2171,1,2,2,female : non-single or male : single,none,2,building soc. savings agr./life insurance,29,bank,2,1,3,0 to 2,1,2,1
152,4,48,4,car (new),8858,5,4,2,male : married/widowed,none,1,real estate,35,none,3,2,3,0 to 2,2,2,1
153,2,24,2,others,3512,2,4,2,male : married/widowed,none,3,building soc. savings agr./life insurance,38,bank,2,2,3,0 to 2,2,2,1
154,2,12,2,furniture/equipment,1158,3,3,3,male : divorced/separated,none,1,building soc. savings agr./life insurance,26,none,2,1,3,0 to 2,2,2,1
155,4,24,4,furniture/equipment,2684,1,3,4,male : married/widowed,none,2,unknown / no property,35,none,2,2,2,0 to 2,1,2,1
156,1,12,2,furniture/equipment,1498,1,3,4,female : non-single or male : single,none,1,building soc. savings agr./life insurance,23,bank,2,1,3,0 to 2,1,2,1
157,4,30,4,furniture/equipment,5954,1,4,3,male : married/widowed,co-applicant,2,building soc. savings agr./life insurance,38,none,2,1,3,0 to 2,1,2,1
158,2,48,1,retraining,6416,1,5,4,female : non-single or male : single,none,3,real estate,59,none,1,1,3,0 to 2,1,2,0
159,2,12,4,car (used),3617,1,5,1,male : married/widowed,none,4,building soc. savings agr./life insurance,28,none,1,3,3,0 to 2,2,2,1
160,4,12,4,furniture/equipment,1291,1,3,4,female : non-single or male : single,none,2,car or other,35,none,2,2,3,0 to 2,1,2,1
161,3,24,4,retraining,1275,4,3,2,male : divorced/separated,none,4,unknown / no property,36,none,2,2,3,0 to 2,2,2,1
162,4,24,2,car (used),3972,1,4,2,female : non-single or male : single,none,4,car or other,25,none,1,1,3,0 to 2,2,2,1
163,4,15,4,car (used),3343,1,3,4,male : married/widowed,none,2,real estate,28,none,3,1,3,0 to 2,2,2,1
164,3,15,2,repairs,392,1,2,4,female : non-single or male : single,none,4,car or other,23,none,1,1,3,0 to 2,2,2,1
165,4,9,4,others,2134,1,3,4,male : married/widowed,none,4,building soc. savings agr./life insurance,48,none,2,3,3,0 to 2,2,2,1
166,4,30,4,furniture/equipment,5771,1,4,4,female : non-single or male : single,none,2,building soc. savings agr./life insurance,25,none,2,2,3,0 to 2,1,2,1
167,4,24,4,retraining,4526,1,3,3,male : married/widowed,none,2,unknown / no property,74,none,2,1,4,0 to 2,2,2,1
168,4,15,4,car (used),2788,1,4,2,female : non-single or male : single,co-applicant,3,building soc. savings agr./life insurance,24,bank,2,2,3,0 to 2,1,2,1
169,4,6,4,furniture/equipment,1382,1,3,1,female : non-single or male : single,none,1,building soc. savings agr./life insurance,28,none,2,2,3,0 to 2,2,2,1
170,3,36,2,furniture/equipment,5848,1,3,4,male : married/widowed,none,1,building soc. savings agr./life insurance,24,none,2,1,3,0 to 2,1,2,1
171,1,12,2,others,1228,1,3,4,female : non-single or male : single,none,2,unknown / no property,24,none,2,1,2,0 to 2,1,2,0
172,3,12,2,furniture/equipment,1297,1,3,3,female : single,none,4,unknown / no property,23,none,1,1,3,0 to 2,1,2,1
173,4,24,2,furniture/equipment,1552,1,4,3,male : married/widowed,none,1,building soc. savings agr./life insurance,32,bank,2,1,3,3 or more,1,2,1
174,4,12,2,furniture/equipment,1963,1,4,4,male : married/widowed,none,2,building soc. savings agr./life insurance,31,none,1,2,4,3 or more,2,2,1
175,4,24,2,furniture/equipment,3235,3,5,3,male : divorced/separated,none,2,building soc. savings agr./life insurance,36,none,2,1,4,0 to 2,2,2,1
176,4,24,4,retraining,4139,2,3,3,male : married/widowed,none,3,car or other,27,none,2,2,2,0 to 2,2,2,1
177,2,12,4,car (new),1804,2,2,3,male : married/widowed,none,4,car or other,44,none,2,1,3,0 to 2,1,2,1
178,4,18,2,retraining,1950,1,4,4,male : married/widowed,none,1,building soc. savings agr./life insurance,34,stores,2,2,3,0 to 2,2,2,1
179,4,48,3,furniture/equipment,12749,3,4,4,male : married/widowed,none,1,building soc. savings agr./life insurance,37,none,2,1,4,0 to 2,2,2,1
180,4,9,2,radio/television,1236,1,2,1,female : non-single or male : single,none,4,unknown / no property,23,none,1,1,3,0 to 2,2,2,1
181,4,18,4,others,1055,1,2,4,female : non-single or male : single,none,1,car or other,30,none,2,2,3,0 to 2,1,2,1
182,1,30,0,retraining,8072,5,2,2,male : married/widowed,none,3,building soc. savings agr./life insurance,25,bank,2,3,3,0 to 2,1,2,1
183,4,30,4,furniture/equipment,2831,1,3,4,female : non-single or male : single,none,2,building soc. savings agr./life insurance,33,none,2,1,3,0 to 2,2,2,1
184,4,9,2,retraining,1449,1,4,3,female : non-single or male : single,none,2,building soc. savings agr./life insurance,27,none,2,2,3,0 to 2,1,2,1
185,4,36,2,retraining,5742,2,4,2,male : married/widowed,none,2,building soc. savings agr./life insurance,31,none,2,2,3,0 to 2,2,2,1
186,4,12,2,others,2390,5,5,4,male : married/widowed,none,3,building soc. savings agr./life insurance,50,none,2,1,3,0 to 2,2,2,1
187,4,24,2,furniture/equipment,3430,3,5,3,male : married/widowed,none,2,building soc. savings agr./life insurance,31,none,2,1,3,3 or more,2,2,1
188,2,36,2,repairs,2273,1,4,3,male : married/widowed,none,1,building soc. savings agr./life insurance,32,none,2,2,3,3 or more,1,2,1
189,3,21,2,others,2923,2,3,1,female : non-single or male : single,none,1,building soc. savings agr./life insurance,28,bank,2,1,4,0 to 2,2,2,1
190,4,24,2,furniture/equipment,1901,2,3,4,male : married/widowed,none,4,building soc. savings agr./life insurance,29,none,1,1,4,0 to 2,2,2,1
191,2,36,2,repairs,3711,5,3,2,female : single,none,2,building soc. savings agr./life insurance,27,none,2,1,3,0 to 2,1,2,1
192,2,48,2,others,8487,5,4,1,female : non-single or male : single,none,2,building soc. savings agr./life insurance,24,none,2,1,3,0 to 2,1,2,1
193,4,24,2,others,2255,5,2,4,male : married/widowed,none,1,car or other,54,none,2,1,3,0 to 2,1,2,1
194,4,12,2,furniture/equipment,1262,1,3,3,male : married/widowed,none,2,building soc. savings agr./life insurance,25,none,2,1,3,0 to 2,1,2,1
195,4,33,4,car (new),7253,1,4,3,male : married/widowed,none,2,building soc. savings agr./life insurance,35,none,2,2,4,0 to 2,2,2,1
196,4,6,4,others,6761,1,4,1,male : married/widowed,none,3,real estate,45,none,2,2,4,3 or more,2,2,1
197,4,18,4,car (used),1817,1,3,4,female : non-single or male : single,none,2,real estate,28,none,2,2,3,0 to 2,1,2,1
198,4,12,2,furniture/equipment,2141,2,4,3,male : married/widowed,none,1,real estate,35,none,2,1,3,0 to 2,1,2,1
199,4,48,1,retraining,3609,1,3,1,female : non-single or male : single,none,1,unknown / no property,27,stores,2,1,3,0 to 2,1,2,1
200,4,30,2,furniture/equipment,2333,3,5,4,male : married/widowed,none,2,building soc. savings agr./life insurance,30,bank,2,1,4,0 to 2,1,2,1
201,4,28,1,car (new),7824,5,2,3,male : married/widowed,guarantor,4,unknown / no property,40,bank,1,2,3,3 or more,2,2,1
202,3,18,1,furniture/equipment,1445,5,4,4,male : married/widowed,none,4,building soc. savings agr./life insurance,49,bank,2,1,2,0 to 2,1,2,1
203,1,24,2,car (used),7721,5,2,1,female : non-single or male : single,none,2,car or other,30,none,2,1,3,0 to 2,2,1,1
204,1,21,2,others,3763,5,4,2,male : married/widowed,co-applicant,2,unknown / no property,24,none,2,1,2,0 to 2,1,1,1
205,2,18,2,retraining,4439,1,5,1,male : married/widowed,co-applicant,1,unknown / no property,33,bank,2,1,4,0 to 2,2,2,1
206,1,12,2,furniture/equipment,1107,1,3,2,male : married/widowed,none,2,unknown / no property,20,none,1,1,4,3 or more,2,2,1
207,2,15,2,furniture/equipment,1444,5,2,4,male : married/widowed,none,1,car or other,23,none,2,1,3,0 to 2,1,2,1
208,2,48,1,others,12169,5,1,4,male : married/widowed,co-applicant,4,real estate,36,none,3,1,4,0 to 2,2,2,1
209,4,9,2,furniture/equipment,2753,2,5,3,male : married/widowed,co-applicant,4,building soc. savings agr./life insurance,35,none,2,1,3,0 to 2,2,2,1
210,3,4,2,others,1494,5,2,1,male : married/widowed,none,2,unknown / no property,29,none,2,1,2,3 or more,1,1,1
