,age,workclass,fnlwgt,education,education.num,marital.status,occupation_category,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
24,late adulthood,?,135285,HS-grad,9,Married-civ-spouse,,Other,Husband,White,Male,0,2603,32,United-States,0
25,young adult,Private,34310,Assoc-voc,11,Married-civ-spouse,Blue Collar,Craft-repair,Husband,White,Male,0,2603,40,United-States,0
26,young adult,Private,228696,1st-4th,2,Married-civ-spouse,Blue Collar,Craft-repair,Not-in-family,White,Male,0,2603,32,Mexico,0
27,adult,Private,122066,5th-6th,3,Married-civ-spouse,Service,Other-service,Husband,White,Male,0,2603,40,Greece,0
28,young adult,Self-emp-inc,107164,10th,6,Never-married,Blue Collar,Transport-moving,Not-in-family,White,Male,0,2559,50,United-States,1
29,young adult,Private,175360,10th,6,Never-married,White Collar,Prof-specialty,Not-in-family,White,Male,0,2559,90,United-States,1
30,young adult,Private,44064,Some-college,10,Separated,Service,Other-service,Not-in-family,White,Male,0,2559,40,United-States,1
31,adult,Self-emp-inc,107287,10th,6,Widowed,White Collar,Exec-managerial,Unmarried,White,Female,0,2559,50,United-States,1
32,adult,Private,198863,Prof-school,15,Divorced,White Collar,Exec-managerial,Not-in-family,White,Male,0,2559,60,United-States,1
33,adult,Private,123011,Bachelors,13,Divorced,White Collar,Exec-managerial,Not-in-family,White,Male,0,2559,50,United-States,1
34,late adulthood,Self-emp-not-inc,205246,HS-grad,9,Never-married,White Collar,Exec-managerial,Not-in-family,Black,Male,0,2559,50,United-States,1
35,late adulthood,Federal-gov,39181,Doctorate,16,Divorced,White Collar,Exec-managerial,Not-in-family,White,Female,0,2559,60,United-States,1
36,adult,Private,149650,HS-grad,9,Never-married,Service,Sales,Not-in-family,White,Male,0,2559,48,United-States,1
37,adult,Private,197163,Prof-school,15,Never-married,White Collar,Prof-specialty,Not-in-family,White,Female,0,2559,50,United-States,1
38,young adult,Self-emp-not-inc,137527,Doctorate,16,Never-married,White Collar,Prof-specialty,Not-in-family,White,Female,0,2559,60,United-States,1
39,adult,Private,161691,Masters,14,Divorced,White Collar,Prof-specialty,Not-in-family,White,Female,0,2559,40,United-States,1
40,adult,Private,326232,Bachelors,13,Divorced,White Collar,Exec-managerial,Unmarried,White,Male,0,2547,50,United-States,1
41,adult,Private,115806,Masters,14,Divorced,White Collar,Exec-managerial,Unmarried,White,Female,0,2547,40,United-States,1
42,adult,Private,115066,Some-college,10,Divorced,White Collar,Adm-clerical,Unmarried,White,Female,0,2547,40,United-States,1
43,adult,Private,289669,Masters,14,Divorced,White Collar,Prof-specialty,Unmarried,White,Female,0,2547,40,United-States,1
44,late adulthood,?,100820,HS-grad,9,Married-civ-spouse,,Other,Husband,White,Male,0,2489,15,United-States,0
45,adult,Private,121253,Bachelors,13,Married-spouse-absent,Service,Sales,Unmarried,White,Female,0,2472,70,United-States,1
46,late adulthood,Private,110380,HS-grad,9,Married-civ-spouse,Service,Sales,Husband,White,Male,0,2467,52,United-States,0
47,late adulthood,Self-emp-not-inc,233882,HS-grad,9,Married-civ-spouse,Blue Collar,Farming-fishing,Husband,Asian-Pac-Islander,Male,0,2457,40,Vietnam,0
48,late adulthood,?,192052,Some-college,10,Married-civ-spouse,,Other,Wife,White,Female,0,2457,40,United-States,0
49,late adulthood,?,174995,Some-college,10,Married-civ-spouse,,Other,Husband,White,Male,0,2457,40,United-States,0
50,adult,Self-emp-not-inc,335549,Prof-school,15,Never-married,White Collar,Prof-specialty,Not-in-family,White,Male,0,2444,45,United-States,1
51,adult,Private,237729,HS-grad,9,Widowed,Service,Sales,Not-in-family,White,Female,0,2444,72,United-States,1
52,adult,State-gov,68898,Assoc-voc,11,Divorced,White Collar,Tech-support,Not-in-family,White,Male,0,2444,39,United-States,1
53,adult,Private,107276,Some-college,10,Never-married,White Collar,Exec-managerial,Not-in-family,White,Female,0,2444,40,United-States,1
54,young adult,Private,141584,Masters,14,Never-married,Service,Sales,Not-in-family,White,Male,0,2444,45,United-States,1
55,young adult,Private,207668,Bachelors,13,Never-married,White Collar,Exec-managerial,Other-relative,White,Male,0,2444,50,United-States,1
56,adult,Private,313243,Some-college,10,Separated,Blue Collar,Craft-repair,Not-in-family,White,Male,0,2444,45,United-States,1
57,adult,Local-gov,147372,Some-college,10,Never-married,,Protective-serv,Not-in-family,White,Male,0,2444,40,United-States,1
58,young adult,Private,237608,Bachelors,13,Never-married,Service,Sales,Not-in-family,White,Female,0,2444,45,United-States,1
59,young adult,Private,194901,Assoc-voc,11,Separated,Blue Collar,Craft-repair,Not-in-family,White,Male,0,2444,42,United-States,1
60,adult,Private,155106,Assoc-acdm,12,Divorced,Blue Collar,Craft-repair,Not-in-family,White,Male,0,2444,70,United-States,1
61,adult,Self-emp-inc,121441,11th,7,Never-married,White Collar,Exec-managerial,Other-relative,White,Male,0,2444,40,United-States,1
62,adult,Private,162028,Some-college,10,Married-civ-spouse,White Collar,Adm-clerical,Wife,White,Female,0,2415,6,United-States,1
63,adult,Self-emp-not-inc,160724,Bachelors,13,Married-civ-spouse,Service,Sales,Husband,Asian-Pac-Islander,Male,0,2415,40,China,1
64,adult,Private,132222,Prof-school,15,Married-civ-spouse,White Collar,Prof-specialty,Husband,White,Male,0,2415,40,United-States,1
65,late adulthood,Self-emp-inc,226355,Assoc-voc,11,Married-civ-spouse,Blue Collar,Machine-op-inspct,Husband,White,Male,0,2415,70,?,1
66,young adult,Private,329980,Masters,14,Married-civ-spouse,White Collar,Exec-managerial,Husband,White,Male,0,2415,60,United-States,1
67,adult,Self-emp-inc,124137,Prof-school,15,Married-civ-spouse,White Collar,Prof-specialty,Husband,White,Male,0,2415,35,Greece,1
68,young adult,Self-emp-inc,329980,Bachelors,13,Married-civ-spouse,Service,Sales,Husband,White,Male,0,2415,60,United-States,1
69,adult,Self-emp-inc,187702,Prof-school,15,Married-civ-spouse,White Collar,Prof-specialty,Husband,White,Male,0,2415,60,United-States,1
70,adult,Private,199029,Bachelors,13,Married-civ-spouse,Service,Sales,Husband,White,Male,0,2415,55,United-States,1
71,adult,Self-emp-not-inc,145290,HS-grad,9,Married-civ-spouse,White Collar,Exec-managerial,Husband,White,Male,0,2415,50,United-States,1
72,adult,Local-gov,297248,Prof-school,15,Married-civ-spouse,White Collar,Prof-specialty,Husband,White,Male,0,2415,45,United-States,1
73,adult,Self-emp-inc,227856,Bachelors,13,Married-civ-spouse,White Collar,Exec-managerial,Husband,White,Male,0,2415,50,United-States,1
74,young adult,Private,179731,Masters,14,Married-civ-spouse,White Collar,Exec-managerial,Wife,White,Female,0,2415,65,United-States,1
75,adult,Private,154374,Bachelors,13,Married-civ-spouse,White Collar,Exec-managerial,Husband,White,Male,0,2415,60,United-States,1
76,adult,?,27187,Assoc-voc,11,Married-civ-spouse,,Other,Husband,White,Male,0,2415,12,United-States,1
77,adult,Private,326857,Masters,14,Married-civ-spouse,Service,Sales,Husband,White,Male,0,2415,65,United-States,1
78,adult,Private,160369,Masters,14,Married-civ-spouse,White Collar,Exec-managerial,Husband,White,Male,0,2415,45,United-States,1
79,young adult,Private,396745,Bachelors,13,Married-civ-spouse,White Collar,Prof-specialty,Husband,White,Male,0,2415,48,United-States,1
80,adult,Self-emp-inc,151089,Some-college,10,Married-civ-spouse,White Collar,Exec-managerial,Husband,White,Male,0,2415,55,United-States,1
81,late adulthood,Self-emp-inc,336188,Prof-school,15,Married-civ-spouse,White Collar,Prof-specialty,Husband,White,Male,0,2415,80,United-States,1
82,young adult,Private,279015,Masters,14,Married-civ-spouse,White Collar,Exec-managerial,Husband,White,Male,0,2415,70,Taiwan,1
83,adult,Self-emp-not-inc,43221,Some-college,10,Married-civ-spouse,Blue Collar,Farming-fishing,Husband,White,Male,0,2415,40,United-States,1
84,young adult,Self-emp-inc,30529,Bachelors,13,Married-civ-spouse,Service,Sales,Husband,White,Male,0,2415,50,United-States,1
85,adult,Self-emp-not-inc,201742,Bachelors,13,Married-civ-spouse,White Collar,Exec-managerial,Husband,White,Male,0,2415,50,United-States,1
86,young adult,Self-emp-not-inc,218490,Prof-school,15,Married-civ-spouse,White Collar,Prof-specialty,Husband,White,Male,0,2415,50,?,1
87,adult,Federal-gov,156996,Prof-school,15,Married-civ-spouse,White Collar,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,2415,55,?,1
88,adult,Self-emp-inc,298449,Bachelors,13,Married-civ-spouse,White Collar,Exec-managerial,Husband,White,Male,0,2415,50,United-States,1
89,adult,Self-emp-inc,191712,Masters,14,Married-civ-spouse,White Collar,Prof-specialty,Husband,White,Male,0,2415,55,United-States,1
90,young adult,Private,198654,Prof-school,15,Married-civ-spouse,White Collar,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,2415,67,India,1
91,adult,Self-emp-not-inc,102308,Bachelors,13,Married-civ-spouse,Service,Sales,Husband,White,Male,0,2415,40,United-States,1
92,young adult,Private,348521,Some-college,10,Married-civ-spouse,Blue Collar,Farming-fishing,Husband,White,Male,0,2415,99,United-States,1
93,late adulthood,Self-emp-inc,56248,Bachelors,13,Married-civ-spouse,Blue Collar,Farming-fishing,Husband,White,Male,0,2415,60,United-States,1
94,young adult,Self-emp-not-inc,252752,HS-grad,9,Married-civ-spouse,Service,Other-service,Wife,White,Female,0,2415,40,United-States,1
95,adult,Private,192963,Bachelors,13,Married-civ-spouse,White Collar,Adm-clerical,Husband,Asian-Pac-Islander,Male,0,2415,35,Philippines,1
96,adult,Self-emp-not-inc,198759,Prof-school,15,Married-civ-spouse,White Collar,Prof-specialty,Husband,White,Male,0,2415,80,United-States,1
97,young adult,Self-emp-inc,143123,Assoc-voc,11,Married-civ-spouse,Blue Collar,Craft-repair,Husband,White,Male,0,2415,40,United-States,1
98,young adult,Private,237713,Prof-school,15,Married-civ-spouse,Service,Sales,Husband,White,Male,0,2415,99,United-States,1
99,adult,Private,81929,Doctorate,16,Married-civ-spouse,White Collar,Prof-specialty,Husband,White,Male,0,2415,45,United-States,1
100,adult,Self-emp-inc,167793,Prof-school,15,Married-civ-spouse,White Collar,Prof-specialty,Husband,White,Male,0,2415,60,United-States,1
101,adult,Private,456062,Doctorate,16,Married-civ-spouse,White Collar,Prof-specialty,Husband,White,Male,0,2415,55,United-States,1
102,adult,Self-emp-not-inc,105478,Bachelors,13,Married-civ-spouse,White Collar,Exec-managerial,Husband,White,Male,0,2415,40,United-States,1
103,adult,Self-emp-not-inc,42402,Prof-school,15,Married-civ-spouse,White Collar,Prof-specialty,Husband,White,Male,0,2415,30,United-States,1
104,adult,Self-emp-inc,114580,Prof-school,15,Married-civ-spouse,White Collar,Exec-managerial,Wife,White,Female,0,2415,55,United-States,1
105,young adult,Private,346478,Bachelors,13,Married-civ-spouse,Service,Sales,Husband,White,Male,0,2415,45,United-States,1
106,young adult,Private,187870,Prof-school,15,Married-civ-spouse,White Collar,Prof-specialty,Husband,White,Male,0,2415,90,United-States,1
107,adult,Private,35576,Some-college,10,Married-civ-spouse,Service,Sales,Husband,White,Male,0,2415,50,United-States,1
108,adult,Private,102346,Bachelors,13,Married-civ-spouse,White Collar,Exec-managerial,Wife,White,Female,0,2415,20,United-States,1
109,adult,Private,148995,Bachelors,13,Married-civ-spouse,White Collar,Exec-managerial,Husband,White,Male,0,2415,60,United-States,1
110,adult,Self-emp-inc,102308,Prof-school,15,Married-civ-spouse,White Collar,Prof-specialty,Husband,White,Male,0,2415,45,United-States,1
111,late adulthood,Private,105252,Bachelors,13,Widowed,White Collar,Exec-managerial,Not-in-family,White,Male,0,2392,40,United-States,1
112,late adulthood,Self-emp-inc,106175,Bachelors,13,Married-civ-spouse,White Collar,Exec-managerial,Husband,White,Male,0,2392,75,United-States,1
113,late adulthood,Self-emp-not-inc,52138,Doctorate,16,Married-civ-spouse,White Collar,Prof-specialty,Husband,White,Male,0,2392,25,United-States,1
114,late adulthood,?,118902,Doctorate,16,Married-civ-spouse,,Other,Husband,White,Male,0,2392,6,United-States,1
115,adult,Self-emp-inc,191978,Masters,14,Married-civ-spouse,White Collar,Exec-managerial,Husband,White,Male,0,2392,50,United-States,1
116,late adulthood,Self-emp-inc,188044,Bachelors,13,Married-civ-spouse,White Collar,Exec-managerial,Husband,White,Male,0,2392,40,United-States,1
117,late adulthood,Self-emp-inc,66624,Bachelors,13,Married-civ-spouse,White Collar,Exec-managerial,Husband,White,Male,0,2392,60,United-States,1
118,late adulthood,Self-emp-inc,153183,Bachelors,13,Married-civ-spouse,White Collar,Exec-managerial,Husband,White,Male,0,2392,55,United-States,1
119,late adulthood,Private,211287,Masters,14,Married-civ-spouse,White Collar,Exec-managerial,Husband,White,Male,0,2392,40,United-States,1
120,young adult,Private,181655,Assoc-voc,11,Married-civ-spouse,White Collar,Adm-clerical,Husband,White,Male,0,2377,45,United-States,0
121,late adulthood,State-gov,235882,Doctorate,16,Married-civ-spouse,White Collar,Prof-specialty,Husband,White,Male,0,2377,60,United-States,1
122,adult,Self-emp-inc,158685,HS-grad,9,Married-civ-spouse,White Collar,Adm-clerical,Wife,White,Female,0,2377,40,United-States,1
123,young adult,Private,370767,HS-grad,9,Married-civ-spouse,White Collar,Prof-specialty,Husband,White,Male,0,2377,60,United-States,0
124,late adulthood,Self-emp-not-inc,155141,Bachelors,13,Married-civ-spouse,Blue Collar,Craft-repair,Husband,White,Male,0,2377,12,United-States,1
125,young adult,Private,156516,Some-college,10,Married-civ-spouse,White Collar,Adm-clerical,Wife,Black,Female,0,2377,20,United-States,0
126,young adult,Local-gov,177305,Some-college,10,Married-civ-spouse,White Collar,Exec-managerial,Husband,White,Male,0,2377,40,United-States,0
127,young adult,Private,162945,HS-grad,9,Married-civ-spouse,Service,Sales,Husband,White,Male,0,2377,40,United-States,0
128,late adulthood,Private,177408,HS-grad,9,Married-civ-spouse,White Collar,Exec-managerial,Husband,White,Male,0,2377,26,United-States,1
129,late adulthood,Self-emp-not-inc,427422,Doctorate,16,Married-civ-spouse,Service,Sales,Husband,White,Male,0,2377,25,United-States,1
130,late adulthood,Private,152307,HS-grad,9,Married-civ-spouse,White Collar,Exec-managerial,Husband,White,Male,0,2377,45,United-States,1
131,late adulthood,Private,218637,Some-college,10,Married-civ-spouse,Service,Sales,Husband,White,Male,0,2377,55,United-States,1
132,late adulthood,State-gov,202699,Masters,14,Married-civ-spouse,White Collar,Prof-specialty,Husband,White,Male,0,2377,42,?,1
133,late adulthood,?,240857,Bachelors,13,Married-civ-spouse,,Other,Husband,White,Male,0,2377,40,United-States,1
134,adult,Private,222405,HS-grad,9,Married-civ-spouse,Service,Sales,Husband,Black,Male,0,2377,40,United-States,0
135,adult,Self-emp-inc,110862,Assoc-acdm,12,Married-civ-spouse,Blue Collar,Craft-repair,Husband,White,Male,0,2377,50,United-States,0
136,late adulthood,?,257269,Bachelors,13,Married-civ-spouse,,Other,Husband,White,Male,0,2377,35,United-States,1
137,young adult,Private,377931,Some-college,10,Married-civ-spouse,White Collar,Exec-managerial,Husband,White,Male,0,2377,48,United-States,0
138,young adult,Private,192923,HS-grad,9,Married-civ-spouse,Blue Collar,Craft-repair,Husband,White,Male,0,2377,40,United-States,0
139,late adulthood,Self-emp-inc,207938,Bachelors,13,Married-civ-spouse,White Collar,Exec-managerial,Husband,White,Male,0,2377,50,United-States,1
140,late adulthood,Self-emp-not-inc,36671,HS-grad,9,Married-civ-spouse,Blue Collar,Farming-fishing,Husband,White,Male,0,2352,50,United-States,0
141,late adulthood,Self-emp-inc,81413,HS-grad,9,Married-civ-spouse,Blue Collar,Farming-fishing,Husband,White,Male,0,2352,65,United-States,0
142,adult,Private,214955,5th-6th,3,Divorced,Blue Collar,Craft-repair,Not-in-family,White,Female,0,2339,45,United-States,0
143,young adult,Local-gov,166295,Bachelors,13,Never-married,White Collar,Prof-specialty,Not-in-family,White,Male,0,2339,55,United-States,0
144,adult,Local-gov,147707,HS-grad,9,Widowed,Blue Collar,Farming-fishing,Unmarried,White,Male,0,2339,40,United-States,0
145,late adulthood,Private,43554,5th-6th,3,Never-married,Blue Collar,Handlers-cleaners,Not-in-family,Black,Male,0,2339,40,United-States,0
146,late adulthood,State-gov,358893,Bachelors,13,Divorced,White Collar,Prof-specialty,Not-in-family,White,Female,0,2339,40,United-States,0
147,adult,Self-emp-inc,141058,Some-college,10,Divorced,White Collar,Exec-managerial,Not-in-family,White,Male,0,2339,50,United-States,0
148,young adult,Private,25322,Bachelors,13,Married-spouse-absent,Blue Collar,Machine-op-inspct,Not-in-family,Asian-Pac-Islander,Male,0,2339,40,?,0
149,young adult,Private,77071,Bachelors,13,Never-married,White Collar,Prof-specialty,Own-child,White,Female,0,2339,35,United-States,0
150,adult,Private,158702,Some-college,10,Never-married,White Collar,Adm-clerical,Not-in-family,Black,Female,0,2339,45,?,0
151,adult,Local-gov,171328,HS-grad,9,Separated,,Protective-serv,Other-relative,Black,Female,0,2339,40,United-States,0
152,young adult,State-gov,381789,Some-college,10,Separated,White Collar,Exec-managerial,Own-child,White,Male,0,2339,40,United-States,0
153,adult,?,152569,Assoc-voc,11,Widowed,,Other,Not-in-family,White,Female,0,2339,36,United-States,0
154,adult,Self-emp-not-inc,346635,Masters,14,Divorced,Service,Sales,Unmarried,White,Female,0,2339,60,United-States,0
155,adult,Private,162140,HS-grad,9,Divorced,Blue Collar,Craft-repair,Not-in-family,White,Male,0,2339,40,United-States,0
156,adult,Private,191765,HS-grad,9,Never-married,White Collar,Adm-clerical,Other-relative,Black,Female,0,2339,40,Trinadad&Tobago,0
157,young adult,Private,251905,Prof-school,15,Never-married,White Collar,Prof-specialty,Not-in-family,White,Male,0,2339,40,Canada,0
158,adult,Self-emp-not-inc,33310,Prof-school,15,Divorced,Service,Other-service,Not-in-family,White,Female,0,2339,35,United-States,0
159,late adulthood,Private,228921,Bachelors,13,Widowed,White Collar,Prof-specialty,Not-in-family,White,Male,0,2282,40,United-States,1
160,late adulthood,Local-gov,36364,HS-grad,9,Married-civ-spouse,Blue Collar,Craft-repair,Husband,White,Male,0,2267,40,United-States,0
161,late adulthood,Private,124930,5th-6th,3,Married-civ-spouse,Blue Collar,Machine-op-inspct,Husband,White,Male,0,2267,40,United-States,0
162,adult,Local-gov,176046,Masters,14,Married-civ-spouse,White Collar,Prof-specialty,Wife,White,Female,0,2267,40,United-States,0
163,adult,Federal-gov,370890,HS-grad,9,Never-married,White Collar,Adm-clerical,Not-in-family,White,Male,0,2258,40,United-States,0
164,young,Self-emp-not-inc,157145,Some-college,10,Never-married,Blue Collar,Farming-fishing,Own-child,White,Male,0,2258,10,United-States,0
165,young adult,Private,288825,HS-grad,9,Divorced,Blue Collar,Craft-repair,Not-in-family,White,Male,0,2258,84,United-States,0
166,young adult,Self-emp-not-inc,257295,Some-college,10,Never-married,Service,Sales,Other-relative,Asian-Pac-Islander,Male,0,2258,40,South,0
167,adult,Private,287983,Bachelors,13,Never-married,White Collar,Tech-support,Not-in-family,Asian-Pac-Islander,Female,0,2258,48,Philippines,0
168,young adult,Private,101978,Some-college,10,Separated,Blue Collar,Machine-op-inspct,Not-in-family,White,Male,0,2258,55,United-States,1
169,adult,State-gov,192779,Assoc-acdm,12,Divorced,White Collar,Adm-clerical,Unmarried,White,Male,0,2258,38,United-States,1
170,young adult,Private,135296,Bachelors,13,Never-married,White Collar,Exec-managerial,Not-in-family,White,Female,0,2258,45,United-States,1
171,adult,Federal-gov,199114,Bachelors,13,Never-married,White Collar,Adm-clerical,Not-in-family,White,Male,0,2258,40,United-States,0
172,young adult,Private,156897,HS-grad,9,Never-married,Blue Collar,Craft-repair,Own-child,White,Male,0,2258,42,United-States,1
173,adult,Private,138107,Bachelors,13,Divorced,White Collar,Exec-managerial,Not-in-family,White,Male,0,2258,40,United-States,1
174,young adult,Private,279833,Bachelors,13,Never-married,White Collar,Exec-managerial,Not-in-family,White,Male,0,2258,45,United-States,1
175,young adult,Self-emp-not-inc,208577,HS-grad,9,Never-married,Blue Collar,Craft-repair,Not-in-family,White,Male,0,2258,50,United-States,0
176,young adult,Private,102942,Bachelors,13,Never-married,White Collar,Prof-specialty,Own-child,White,Female,0,2258,40,United-States,1
177,young adult,Private,36385,Masters,14,Never-married,White Collar,Prof-specialty,Not-in-family,White,Male,0,2258,50,United-States,0
178,young adult,Private,176185,12th,8,Divorced,Blue Collar,Craft-repair,Not-in-family,White,Male,0,2258,42,United-States,0
179,young adult,Local-gov,162613,Masters,14,Never-married,White Collar,Prof-specialty,Not-in-family,White,Female,0,2258,60,United-States,0
180,adult,Private,121362,Some-college,10,Widowed,White Collar,Adm-clerical,Unmarried,White,Female,0,2258,38,United-States,1
181,young adult,Private,145933,HS-grad,9,Never-married,White Collar,Exec-managerial,Not-in-family,White,Male,0,2258,70,United-States,0
182,adult,Federal-gov,29591,Bachelors,13,Divorced,White Collar,Tech-support,Not-in-family,White,Male,0,2258,40,United-States,1
183,adult,State-gov,269417,Doctorate,16,Never-married,White Collar,Exec-managerial,Not-in-family,White,Female,0,2258,50,United-States,1
184,adult,Self-emp-inc,178510,Some-college,10,Never-married,Service,Sales,Not-in-family,White,Male,0,2258,60,United-States,0
185,adult,Private,41108,Some-college,10,Widowed,Blue Collar,Farming-fishing,Not-in-family,White,Male,0,2258,62,United-States,1
186,adult,Private,187901,HS-grad,9,Divorced,Blue Collar,Farming-fishing,Not-in-family,White,Male,0,2258,44,United-States,1
187,adult,Private,175070,HS-grad,9,Divorced,White Collar,Exec-managerial,Not-in-family,White,Female,0,2258,40,United-States,1
188,young adult,Private,263561,Bachelors,13,Married-civ-spouse,White Collar,Exec-managerial,Husband,White,Male,0,2246,45,United-States,1
189,adult,Local-gov,99131,HS-grad,9,Married-civ-spouse,White Collar,Prof-specialty,Other-relative,White,Female,0,2246,40,United-States,1
190,late adulthood,Self-emp-not-inc,143833,Some-college,10,Married-civ-spouse,White Collar,Exec-managerial,Husband,White,Male,0,2246,40,United-States,1
191,late adulthood,Self-emp-not-inc,124449,Masters,14,Married-civ-spouse,White Collar,Exec-managerial,Husband,White,Male,0,2246,8,United-States,1
192,late adulthood,Private,336007,Bachelors,13,Married-civ-spouse,White Collar,Prof-specialty,Husband,White,Male,0,2246,40,United-States,1
193,late adulthood,Self-emp-not-inc,285408,Prof-school,15,Married-civ-spouse,White Collar,Prof-specialty,Husband,White,Male,0,2246,28,United-States,1
194,young adult,Private,327825,HS-grad,9,Separated,Blue Collar,Machine-op-inspct,Unmarried,White,Female,0,2238,40,United-States,0
195,young adult,Private,129460,10th,6,Widowed,White Collar,Adm-clerical,Unmarried,White,Female,0,2238,35,United-States,0
196,young adult,Self-emp-not-inc,258298,Bachelors,13,Never-married,White Collar,Adm-clerical,Own-child,White,Male,0,2231,40,United-States,1
197,adult,Local-gov,102359,9th,5,Widowed,Blue Collar,Handlers-cleaners,Unmarried,White,Male,0,2231,40,United-States,1
198,young adult,Local-gov,92431,Some-college,10,Never-married,,Protective-serv,Not-in-family,White,Male,0,2231,40,United-States,1
199,late adulthood,Private,51744,HS-grad,9,Never-married,Service,Other-service,Not-in-family,Black,Male,0,2206,40,United-States,0
200,late adulthood,Private,166149,HS-grad,9,Widowed,White Collar,Adm-clerical,Not-in-family,White,Female,0,2206,30,United-States,0
201,late adulthood,Private,149811,HS-grad,9,Divorced,White Collar,Adm-clerical,Unmarried,White,Female,0,2206,59,Canada,0
202,late adulthood,?,143118,HS-grad,9,Widowed,,Other,Unmarried,White,Female,0,2206,10,United-States,0
203,late adulthood,Private,118363,Bachelors,13,Divorced,White Collar,Exec-managerial,Not-in-family,White,Female,0,2206,5,United-States,0
204,late adulthood,Local-gov,362165,Bachelors,13,Widowed,White Collar,Prof-specialty,Not-in-family,Black,Female,0,2206,25,United-States,0
205,young adult,Private,379066,Some-college,10,Never-married,White Collar,Adm-clerical,Not-in-family,White,Male,0,2205,24,United-States,0
206,adult,Self-emp-not-inc,171424,Some-college,10,Divorced,Blue Collar,Machine-op-inspct,Not-in-family,White,Male,0,2205,35,United-States,0
207,young adult,Private,108293,Some-college,10,Never-married,White Collar,Adm-clerical,Own-child,White,Female,0,2205,40,United-States,0
208,young,Private,107801,Assoc-acdm,12,Never-married,Service,Other-service,Own-child,White,Female,0,2205,18,United-States,0
209,young adult,Private,126675,HS-grad,9,Divorced,Blue Collar,Craft-repair,Not-in-family,White,Male,0,2205,40,United-States,0
210,young adult,Private,155603,Some-college,10,Never-married,Service,Other-service,Own-child,Black,Female,0,2205,40,United-States,0
211,young adult,Private,27882,Some-college,10,Never-married,Blue Collar,Machine-op-inspct,Other-relative,White,Female,0,2205,40,Holand-Netherlands,0
212,adult,Private,242564,7th-8th,4,Never-married,Blue Collar,Handlers-cleaners,Not-in-family,Black,Male,0,2205,40,United-States,0
